# JobLength,Size1,Size2
7,10,18
13,12,20
5,15,10
5,17,10
8,9,13
8,13,17
4,14,12
0,0,0
4,8,14
0,0,0
0,0,0
6,7,9
10,26,18
9,10,37
8,16,23
6,19,14
4,11,14
6,5,9
9,9,9
0,0,0
0,0,0
5,7,22
7,31,8
6,7,11
8,16,15
10,12,7
12,18,10
3,7,7
7,8,15
8,27,7
9,20,17
7,11,6
7,17,9
0,0,0
0,0,0
8,19,11
12,8,14
3,15,18
0,0,0
8,16,19
5,36,11
8,13,23
0,0,0
18,15,15
5,11,23
4,16,19
10,14,11
4,10,13
3,28,7
12,14,15
11,13,6
0,0,0
9,9,10
0,0,0
6,15,9
0,0,0
11,13,14
4,15,12
17,10,8
0,0,0
3,35,14
9,9,14
6,8,10
0,0,0
15,19,19
3,10,14
4,24,13
0,0,0
3,13,12
0,0,0
0,0,0
0,0,0
6,12,13
0,0,0
14,8,10
0,0,0
0,0,0
5,7,21
9,16,9
16,11,9
15,14,23
0,0,0
6,7,8
14,12,8
15,15,11
16,27,6
0,0,0
28,7,11
12,17,12
6,9,14
10,11,35
4,5,13
7,9,23
3,8,11
4,18,20
10,10,12
0,0,0
3,6,13
0,0,0
7,15,20
4,6,14
0,0,0
7,10,20
0,0,0
3,10,11
0,0,0
0,0,0
11,6,13
0,0,0
4,16,9
7,9,9
7,7,11
0,0,0
0,0,0
0,0,0
16,7,9
18,10,7
2,16,17
11,11,5
9,17,6
8,16,18
9,11,9
15,13,16
9,8,7
8,14,8
6,13,9
8,25,21
13,18,13
0,0,0
5,19,16
3,22,14
11,12,19
8,27,19
5,8,7
12,10,8
5,9,24
10,11,13
14,23,9
7,9,15
14,8,7
0,0,0
0,0,0
22,29,7
0,0,0
13,16,18
6,11,10
8,20,14
0,0,0
19,12,17
0,0,0
5,15,11
13,15,13
5,11,9
4,8,7
0,0,0
0,0,0
25,13,9
0,0,0
6,7,9
8,11,12
6,15,23
0,0,0
10,14,12
5,19,14
7,14,29
0,0,0
8,13,11
0,0,0
7,20,12
5,8,7
7,17,14
7,17,11
0,0,0
18,10,24
8,24,10
9,15,5
12,19,9
8,8,16
5,13,25
6,27,6
25,19,8
7,10,15
9,8,13
3,17,16
14,9,5
0,0,0
5,11,10
6,10,20
12,14,11
0,0,0
15,10,18
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
8,18,10
0,0,0
12,11,19
3,14,6
0,0,0
8,16,6
0,0,0
3,8,12
0,0,0
6,10,8
19,21,15
3,14,15
13,9,8
0,0,0
4,25,12
12,10,7
13,18,16
7,15,13
5,18,10
3,14,13
6,16,8
8,10,21
13,15,8
9,23,11
18,7,8
6,25,15
0,0,0
0,0,0
0,0,0
3,12,16
0,0,0
13,10,5
0,0,0
0,0,0
20,5,22
0,0,0
0,0,0
0,0,0
11,17,15
15,14,12
0,0,0
0,0,0
0,0,0
32,12,19
0,0,0
11,9,34
7,12,7
5,9,8
3,16,15
13,10,14
6,19,18
0,0,0
5,10,14
7,14,10
0,0,0
8,10,11
0,0,0
13,10,9
0,0,0
0,0,0
5,10,11
11,8,14
7,13,13
9,22,17
20,10,6
4,12,9
7,19,4
5,10,12
9,16,12
12,16,13
6,14,15
0,0,0
10,20,13
7,14,10
12,15,20
0,0,0
0,0,0
0,0,0
6,10,14
0,0,0
0,0,0
0,0,0
3,9,18
7,32,10
9,9,12
0,0,0
8,9,7
0,0,0
4,18,14
4,5,23
0,0,0
0,0,0
6,10,7
4,15,24
6,10,12
3,9,14
16,16,8
7,21,19
5,24,9
8,7,14
5,7,12
7,8,9
36,28,43
5,8,6
24,14,11
11,15,6
0,0,0
13,13,14
2,10,31
4,9,12
8,12,22
5,15,8
0,0,0
1,6,10
5,19,21
7,12,9
12,10,8
10,16,19
0,0,0
8,12,18
0,0,0
8,7,11
9,9,18
0,0,0
3,12,13
0,0,0
8,9,13
0,0,0
22,14,10
0,0,0
0,0,0
2,5,16
9,21,5
10,10,6
10,8,8
3,21,18
0,0,0
5,13,29
0,0,0
16,9,16
3,7,10
14,12,19
0,0,0
10,22,13
4,12,13
7,18,26
12,17,13
0,0,0
9,9,8
4,20,35
8,8,10
6,8,22
0,0,0
17,10,14
5,6,11
0,0,0
8,11,17
4,22,17
12,9,12
10,11,4
5,8,26
3,8,14
11,9,10
0,0,0
8,13,14
0,0,0
0,0,0
4,18,12
7,9,12
0,0,0
11,8,21
6,15,7
4,12,15
11,12,15
10,14,22
14,13,20
10,11,10
12,19,13
9,8,26
11,5,16
5,6,8
11,11,18
3,10,11
9,18,7
9,22,8
9,12,18
5,11,6
6,12,19
6,23,9
4,14,13
0,0,0
5,31,17
5,10,15
5,14,19
12,7,17
0,0,0
5,13,21
0,0,0
11,23,15
4,9,9
7,15,22
8,24,13
11,22,20
0,0,0
9,6,14
14,5,13
4,10,17
0,0,0
6,23,11
4,9,9
5,12,13
9,11,17
8,13,12
11,15,7
9,5,7
17,19,10
0,0,0
0,0,0
8,7,16
0,0,0
15,16,40
20,9,20
15,17,17
13,11,9
3,27,6
6,13,10
9,17,21
9,14,11
7,13,9
10,9,19
8,6,16
10,15,15
13,10,9
4,12,10
0,0,0
5,20,19
12,16,12
0,0,0
0,0,0
16,19,13
6,12,14
13,22,4
0,0,0
4,9,13
3,6,5
4,13,12
12,9,11
5,17,14
5,11,11
7,23,13
4,16,16
3,15,12
0,0,0
18,13,10
3,13,13
8,10,19
9,10,13
7,12,25
0,0,0
9,17,17
6,11,19
7,7,16
12,19,16
9,16,9
21,14,13
13,14,8
7,6,10
13,14,12
13,11,19
13,11,10
8,16,11
9,12,6
5,7,14
5,20,18
0,0,0
6,17,8
0,0,0
8,8,20
0,0,0
7,9,5
0,0,0
13,20,14
6,13,9
0,0,0
13,10,13
4,30,12
8,22,19
0,0,0
11,15,5
0,0,0
8,19,17
3,17,6
17,16,8
7,9,28
7,19,12
0,0,0
6,8,27
7,12,15
0,0,0
5,8,7
0,0,0
3,14,13
10,14,10
7,6,9
4,9,12
14,11,12
8,3,18
6,8,13
5,12,13
4,10,16
9,8,8
6,13,10
6,17,10
0,0,0
10,18,9
10,12,14
7,8,11
16,7,13
0,0,0
20,15,11
5,11,19
6,22,25
12,12,20
4,22,11
0,0,0
9,6,22
6,11,8
16,5,7
8,11,22
0,0,0
4,19,11
0,0,0
0,0,0
0,0,0
19,4,21
12,10,11
9,10,20
8,10,11
0,0,0
3,18,9
25,13,12
10,4,10
9,10,34
0,0,0
4,10,21
8,12,17
5,8,9
13,10,11
3,7,6
7,11,10
0,0,0
5,13,11
21,11,8
7,20,13
8,20,11
0,0,0
7,18,13
10,10,7
3,23,9
0,0,0
8,11,20
4,6,31
0,0,0
0,0,0
6,22,13
0,0,0
3,15,17
13,9,6
9,13,10
11,12,21
5,25,16
6,13,11
4,6,16
6,8,14
4,14,16
5,20,16
11,15,16
8,17,9
6,16,7
8,10,14
11,15,19
4,9,12
8,5,15
3,14,8
12,8,8
8,13,17
26,8,10
8,10,20
10,14,17
4,14,21
18,6,8
0,0,0
9,18,17
5,22,7
21,16,12
16,9,6
8,18,9
13,9,30
7,12,8
