# JobLength,Size1,Size2
3,2,8
1,1,9
0,0,0
10,7,1
15,2,7
1,7,1
1,1,8
0,0,0
0,0,0
0,0,0
14,9,1
0,0,0
0,0,0
1,5,1
2,2,8
0,0,0
0,0,0
3,1,8
0,0,0
2,2,6
2,10,1
1,2,10
1,10,1
0,0,0
3,8,1
14,6,2
10,5,1
0,0,0
0,0,0
1,7,1
1,1,8
0,0,0
1,1,7
10,2,6
2,8,2
1,2,7
2,6,2
0,0,0
3,7,1
2,8,2
1,7,2
12,1,7
1,9,2
0,0,0
1,2,10
10,1,8
3,2,6
12,1,7
11,9,1
2,2,8
1,2,9
0,0,0
1,9,1
0,0,0
1,1,7
2,2,10
13,5,2
1,1,7
0,0,0
3,2,8
2,8,2
0,0,0
14,2,7
2,9,2
11,2,7
0,0,0
2,5,2
3,9,2
0,0,0
1,5,1
0,0,0
0,0,0
2,2,10
0,0,0
3,1,6
1,1,7
2,8,2
0,0,0
1,1,6
0,0,0
2,9,1
12,5,2
1,1,10
1,8,1
0,0,0
0,0,0
12,6,1
1,2,5
0,0,0
1,5,2
13,2,8
0,0,0
0,0,0
0,0,0
1,5,2
2,8,2
1,6,2
0,0,0
10,1,5
3,10,1
15,5,2
0,0,0
0,0,0
1,7,1
0,0,0
1,7,2
3,2,6
0,0,0
14,1,9
2,1,7
2,8,2
3,8,1
11,1,9
1,1,10
1,8,1
3,1,5
1,1,10
2,2,7
0,0,0
0,0,0
1,9,2
3,8,2
0,0,0
0,0,0
3,9,1
1,2,9
2,7,2
0,0,0
14,2,9
2,10,1
15,2,6
3,7,2
14,8,2
0,0,0
0,0,0
0,0,0
2,2,7
0,0,0
1,2,9
0,0,0
0,0,0
0,0,0
13,2,5
0,0,0
2,1,7
15,7,1
3,10,1
3,7,1
1,2,7
0,0,0
3,10,2
1,1,6
1,6,1
2,2,7
2,2,5
1,8,2
2,2,8
3,1,7
14,5,1
0,0,0
10,2,7
1,5,1
0,0,0
1,1,9
0,0,0
2,1,5
2,2,7
15,8,1
0,0,0
3,1,10
0,0,0
2,2,6
3,6,1
3,2,9
13,2,7
3,2,8
2,1,7
0,0,0
3,7,2
1,5,2
15,2,9
0,0,0
0,0,0
12,2,10
3,2,6
2,8,1
2,10,2
2,2,10
0,0,0
0,0,0
2,10,2
3,1,10
2,1,8
2,1,5
3,2,10
10,8,1
2,7,1
3,7,1
1,2,7
3,2,8
2,5,1
0,0,0
3,9,2
3,1,8
0,0,0
12,6,2
1,8,1
2,6,2
3,2,8
0,0,0
0,0,0
2,2,5
3,2,10
0,0,0
2,2,7
15,1,8
0,0,0
0,0,0
0,0,0
1,2,5
2,2,9
1,8,2
15,9,2
0,0,0
1,1,6
1,2,6
3,8,2
15,2,7
2,9,1
13,1,6
2,2,10
0,0,0
3,2,9
0,0,0
0,0,0
0,0,0
0,0,0
1,1,5
0,0,0
3,2,5
3,9,1
0,0,0
3,2,5
3,6,1
3,1,7
1,1,5
1,5,2
2,2,5
15,2,7
2,1,9
3,9,1
0,0,0
1,1,6
2,6,1
3,1,7
0,0,0
2,1,9
1,8,1
3,5,2
1,7,2
2,1,9
2,2,9
0,0,0
3,2,10
1,6,1
3,1,10
3,6,2
1,1,6
2,1,10
0,0,0
3,5,2
0,0,0
0,0,0
2,1,9
15,5,1
0,0,0
0,0,0
3,1,6
0,0,0
15,2,6
10,2,7
0,0,0
2,2,8
2,2,8
0,0,0
3,1,5
3,1,5
13,7,2
0,0,0
13,2,10
0,0,0
2,1,8
1,5,1
3,1,7
3,8,2
3,8,2
1,7,2
1,6,1
12,2,10
0,0,0
1,10,1
1,2,6
3,5,2
0,0,0
