# JobLength,Size1,Size2
7,18,11
24,17,15
6,17,13
4,9,22
11,13,10
3,9,16
10,7,7
4,8,24
6,16,14
11,14,14
4,18,10
19,10,22
7,12,14
13,11,17
6,8,24
8,20,5
4,27,15
11,9,5
7,5,8
6,14,5
4,15,26
8,7,15
15,9,7
7,12,11
5,25,12
8,7,16
6,22,7
6,16,12
5,10,10
8,13,5
14,11,16
14,14,17
9,13,9
9,11,13
1,9,16
2,11,5
12,14,8
8,23,8
6,9,11
9,6,17
5,9,8
5,14,14
10,8,10
5,8,14
12,10,30
5,9,17
6,14,9
6,8,9
3,10,24
15,13,11
3,14,18
4,9,23
7,15,11
5,10,14
7,15,15
4,21,8
6,22,31
15,9,9
4,9,15
12,10,6
11,16,10
3,6,12
10,16,22
6,10,12
6,18,13
7,7,24
11,13,12
6,23,20
7,11,22
13,12,21
8,8,15
5,9,7
5,8,11
8,20,12
19,11,17
12,3,23
10,14,15
7,19,5
12,13,10
3,9,7
9,13,10
8,20,17
5,8,12
8,11,18
4,6,9
7,10,9
7,14,14
9,24,10
5,15,18
9,14,12
13,11,21
3,12,15
9,23,10
2,16,6
5,9,9
9,16,11
20,13,12
5,8,10
5,15,7
2,10,7
6,7,8
14,23,12
5,9,14
18,13,14
8,8,8
12,13,9
7,10,12
18,10,12
18,10,16
5,20,11
9,11,9
16,8,11
12,10,10
17,13,17
23,18,6
3,12,27
16,8,14
7,11,19
3,13,9
3,17,18
4,10,11
3,17,7
5,13,27
8,6,7
9,23,11
3,24,14
5,9,17
5,13,14
5,12,12
7,21,13
10,11,13
11,16,7
2,14,18
3,11,14
12,7,20
7,7,15
6,9,8
9,27,11
9,25,17
7,7,9
9,8,15
5,9,10
10,20,4
6,15,10
4,32,12
4,14,12
11,20,28
6,23,9
18,7,14
4,14,16
7,7,15
11,7,7
18,11,10
3,18,7
9,18,14
5,23,10
5,5,7
2,14,12
7,15,11
3,13,21
10,11,18
13,15,10
4,18,13
14,6,9
13,18,25
8,16,17
3,10,22
7,11,9
6,25,15
14,12,13
3,11,19
5,7,17
8,12,8
9,16,11
6,7,13
12,10,10
9,6,9
8,12,10
15,10,13
16,11,12
4,52,10
10,14,10
10,19,25
10,15,12
6,14,11
8,13,12
7,10,17
26,14,10
5,13,13
9,9,16
6,13,9
18,22,10
6,13,7
7,15,14
6,16,12
6,8,10
5,15,8
7,19,16
7,10,11
6,8,11
12,17,17
4,11,10
27,11,7
17,21,18
12,18,9
16,12,13
5,19,9
15,8,25
7,13,7
6,20,7
4,11,9
7,6,14
7,5,3
7,7,9
3,13,20
9,21,6
6,10,14
6,10,13
11,17,11
3,7,8
9,4,8
10,14,8
4,13,10
10,19,8
7,11,21
5,17,9
9,18,12
3,6,20
7,14,6
14,6,14
6,30,11
7,14,18
7,12,8
7,17,12
3,10,23
4,11,7
5,10,15
8,10,11
3,14,12
7,15,9
11,11,22
9,14,7
12,11,11
